code,description
0304.3,"- Filés (filetes) de tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), frescos ou refrigerados:"
0304.31.00,-- Tilápias (Oreochromis spp.)
0304.32,"-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0304.32.10,Bagre americano (Ictalurus punctatus)
0304.32.90,Outros
0304.33.00,-- Perca-do-nilo (Lates niloticus)
0304.39.00,-- Outros
0304.4,"- Filés (filetes) de outros peixes, frescos ou refrigerados:"
0304.41.00,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)"
0304.42.00,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
0304.43.00,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)"
0304.44.00,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae"
0304.45.00,-- Espadarte (Xiphias gladius)
0304.46.00,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.)
0304.47.00,-- Cação e outros tubarões
0304.48.00,-- Raias (Rajidae)
0304.49,-- Outros
0304.49.10,Cherne-poveiro (Polyprion americanus)
0304.49.20,Garoupas (Acanthistius spp.)
0304.49.90,Outros
0304.5,"- Outros, frescos ou refrigerados:"
0304.51.00,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.)"
0304.52.00,-- Salmonídeos
0304.53.00,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae"
0304.54.00,-- Espadarte (Xiphias gladius)
0304.55.00,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.)
0304.56.00,-- Cação e outros tubarões
0304.57.00,-- Raias (Rajidae)
0304.59.00,-- Outros
0304.6,"- Filés (filetes) de tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), congelados:"
0304.61.00,-- Tilápias (Oreochromis spp.)
0304.62,"-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0304.62.10,Bagre americano (Ictalurus punctatus)
0304.62.90,Outros
0304.63.00,-- Perca-do-nilo (Lates niloticus)
0304.69.00,-- Outros
0304.7,"- Filés (filetes) de peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, congelados:"
0304.71.00,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
0304.72.00,-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
0304.73.00,-- Saithe (Escamudo*) (Pollachius virens)
0304.74.00,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)"
0304.75.00,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
0304.79.00,-- Outros
0304.8,"- Filés (filetes) de outros peixes, congelados:"
0304.81.00,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)"
0304.82.00,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
0304.83.00,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)"
0304.84.00,-- Espadarte (Xiphias gladius)
0304.85,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.)
0304.85.10,Merluza negra (Dissostichus eleginoides)
0304.85.20,Merluza antártica (Dissostichus mawsoni)
0304.86.00,"-- Arenques (Clupea harengus, Clupea pallasii)"
0304.87.00,"-- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis)"
0304.88,"-- Cação e outros tubarões, raias (Rajidae)"
0304.88.10,Tubarão-azul (Prionace glauca)
0304.88.90,Outros
0304.89,-- Outros
0304.89.10,Pargo (Lutjanus purpureus)
0304.89.20,Cherne-poveiro (Polyprion americanus)
0304.89.30,Garoupas (Acanthistius spp.)
0304.89.90,Outros
0304.9,"- Outros, congelados:"
0304.91.00,-- Espadarte (Xiphias gladius)
0304.92,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.)
0304.92.1,Merluza negra (Dissostichus eleginoides)
0304.92.11,Bochechas (cheeks)
0304.92.12,Colares (collars)
0304.92.19,Outros
0304.92.2,Merluza antártica (Dissostichus mawsoni)
0304.92.21,Bochechas (cheeks)
0304.92.22,Colares (collars)
0304.92.29,Outros
0304.93.00,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.)"
0304.94.00,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
0304.95.00,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto a polaca-do-alasca (escamudo-do-alasca*) (Theragra chalcogramma)"
0304.96.00,-- Cação e outros tubarões
0304.97.00,-- Raias (Rajidae)
0304.99.00,-- Outros
03.05,"Peixes secos, salgados ou em salmoura; peixes defumados (fumados), mesmo cozidos antes ou durante a defumação."
0305.20,"- Fígados, ovas e gônadas masculinas, de peixes, secos, defumados (fumados), salgados ou em salmoura"
0305.20.10,Ovas de tainhas (Mugil spp.)
0305.20.90,Outros
0305.3,"- Filés (filetes) de peixes, secos, salgados ou em salmoura, mas não defumados (fumados):"
0305.31.00,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.)"
0305.32,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae"
0305.32.10,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
0305.32.20,Saithe (Pollachius virens)
0305.32.30,Ling (Molva molva) e zarbo (Brosme brosme)
0305.32.90,Outros
0305.39.00,-- Outros
0305.4,"- Peixes defumados (fumados), mesmo em filés (filetes), exceto subprodutos comestíveis de peixes:"
0305.41.00,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)"
0305.42.00,"-- Arenques (Clupea harengus, Clupea pallasii)"
0305.43.00,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
0305.44.00,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.)"
0305.49,-- Outros
0305.49.10,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
0305.49.20,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)"
0305.49.90,Outros
0305.5,"- Peixes secos, exceto subprodutos comestíveis de peixes, mesmo salgados, mas não defumados (fumados):"
0305.51.00,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
0305.52.00,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.)"
0305.53,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto bacalhau (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0305.53.10,"Bacalhau polar (Boreogadus saida), saithe (Pollachius virens), ling (Molva molva), ling azul (Molva dypterygia), zarbo (Brosme brosme), abrotea-do-alto (Urophycis blennoides) e hadoque (Melanogrammus aeglefinus)"
0305.53.90,Outros
0305.54.00,"-- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae)"
0305.59.00,-- Outros
0305.6,"- Peixes salgados, não secos nem defumados (fumados) e peixes em salmoura, exceto subprodutos comestíveis de peixes:"
0305.61.00,"-- Arenques (Clupea harengus, Clupea pallasii)"
0305.62.00,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
0305.63.00,-- Anchovas (Biqueirões*) (Engraulis spp.)
0305.64.00,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.)"
0305.69,-- Outros
0305.69.10,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)"
0305.69.90,Outros
0305.7,"- Barbatanas, cabeças, caudas, bexigas-natatórias e outros subprodutos comestíveis de peixes:"
0305.71.00,-- Barbatanas de tubarão
0305.72.00,"-- Cabeças, caudas e bexigas-natatórias, de peixes"
0305.79.00,-- Outros
03.06,"Crustáceos, mesmo com casca, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crustáceos, mesmo com casca, defumados (fumados), mesmo cozidos antes ou durante a defumação; crustáceos com casca, cozidos em água ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura."
0306.1,- Congelados:
0306.11,"-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)"
0306.11.10,Inteiras
0306.11.90,Outras
0306.12.00,-- Lavagantes (Homarus spp.)
0306.14.00,-- Caranguejos
0306.15.00,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus)
0306.16,"-- Camarões de água fria (Pandalus spp., Crangon crangon)"
0306.16.10,Inteiros
0306.16.90,Outros
0306.17,-- Outros camarões
0306.17.10,Inteiros
0306.17.90,Outros
0306.19,-- Outros
0306.19.10,Krill (Euphausia superba)
0306.19.90,Outros
0306.3,"- Vivos, frescos ou refrigerados:"
0306.31.00,"-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)"
0306.32.00,-- Lavagantes (Homarus spp.)
0306.33.00,-- Caranguejos
0306.34.00,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus)
0306.35.00,"-- Camarões de água fria (Pandalus spp., Crangon crangon)"
0306.36.00,-- Outros camarões
0306.39,-- Outros
0306.39.10,Lagosta de água doce (Cherax quadricarinatus)
0306.39.90,Outros
0306.9,- Outros:
0306.91.00,"-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)"
0306.92.00,-- Lavagantes (Homarus spp.)
0306.93.00,-- Caranguejos
0306.94.00,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus)
0306.95.00,-- Camarões
0306.99,-- Outros
0306.99.10,Lagosta de água doce (Cherax quadricarinatus)
0306.99.90,Outros
03.07,"Moluscos, mesmo com concha, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; moluscos, mesmo com concha, defumados (fumados), mesmo cozidos antes ou durante a defumação."
0307.1,- Ostras:
0307.11.00,"-- Vivas, frescas ou refrigeradas"
0307.12.00,-- Congeladas
0307.19.00,-- Outras
0307.2,- Vieiras e outros moluscos da família Pectinidae:
0307.21.00,"-- Vivos, frescos ou refrigerados"
0307.22.00,-- Congelados
0307.29.00,-- Outros
0307.3,"- Mexilhões (Mytilus spp., Perna spp.):"
0307.31.00,"-- Vivos, frescos ou refrigerados"
0307.32.00,-- Congelados
0307.39.00,-- Outros
0307.4,- Sépias (Chocos*) (Chocos e chopos*); lulas (potas e lulas*):
0307.42.00,"-- Vivas, frescas ou refrigeradas"
0307.43,-- Congeladas
0307.43.10,Lulas
0307.43.20,Sépias
0307.49.00,-- Outras
0307.5,- Polvos (Octopus spp.):
0307.51.00,"-- Vivos, frescos ou refrigerados"
0307.52.00,-- Congelados
0307.59.00,-- Outros
0307.60.00,"- Caracóis, exceto os do mar"
0307.7,"- Amêijoas, berbigões e arcas (famílias Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae e Veneridae):"
0307.71.00,"-- Vivos, frescos ou refrigerados"
0307.72.00,-- Congelados
0307.79.00,-- Outros
0307.8,- Abalones (Orelhas-do-mar*) (Haliotis spp.) e estrombos (Strombus spp.):
0307.81.00,"-- Abalones (Orelhas-do-mar*) (Haliotis spp.) vivos, frescos ou refrigerados"
0307.82.00,"-- Estrombos (Strombus spp.) vivos, frescos ou refrigerados"
0307.83.00,-- Abalones (Orelhas-do-mar*) (Haliotis spp.) congelados
0307.84.00,-- Estrombos (Strombus spp.) congelados
0307.87.00,-- Outros abalones (orelhas-do-mar*) (Haliotis spp.)
0307.88.00,-- Outros estrombos (Strombus spp.)
0307.9,- Outros:
0307.91.00,"-- Vivos, frescos ou refrigerados"
0307.92.00,-- Congelados
0307.99.00,-- Outros
03.08,"Invertebrados aquáticos, exceto crustáceos e moluscos, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; invertebrados aquáticos, exceto crustáceos e moluscos, defumados (fumados), mesmo cozidos antes ou durante a defumação."
0308.1,"- Pepinos-do-mar (Stichopus japonicus, Holothuroidea):"
0308.11.00,"-- Vivos, frescos ou refrigerados"
0308.12.00,-- Congelados
0308.19.00,-- Outros
0308.2,"- Ouriços-do-mar (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus):"
0308.21.00,"-- Vivos, frescos ou refrigerados"
0308.22.00,-- Congelados
0308.29.00,-- Outros
0308.30.00,- Medusas (águas-vivas) (Rhopilema spp.)
0308.90.00,- Outros
03.09,"Farinhas, pós e pellets, de peixe, crustáceos, moluscos e de outros invertebrados aquáticos, próprios para alimentação humana."
0309.10.00,- De peixe
0309.90.00,- Outros
04,"Leite e laticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos."
04.01,"Leite e creme de leite (nata), não concentrados nem adicionados de açúcar ou de outros edulcorantes."
0401.10,"- Com um teor, em peso, de matérias gordas, não superior a 1 %"
0401.10.10,Leite UHT (Ultra High Temperature)
0401.10.90,Outros
0401.20,"- Com um teor, em peso, de matérias gordas, superior a 1 %, mas não superior a 6 %"
0401.20.10,Leite UHT (Ultra High Temperature)
0401.20.90,Outros
0401.40,"- Com um teor, em peso, de matérias gordas, superior a 6 %, mas não superior a 10 %"
0401.40.10,Leite
0401.40.2,Creme de leite (nata)
0401.40.21,UHT (Ultra High Temperature)
0401.40.29,Outros
0401.50,"- Com um teor, em peso, de matérias gordas, superior a 10 %"
0401.50.10,Leite
0401.50.2,Creme de leite (nata)
0401.50.21,UHT (Ultra High Temperature)
0401.50.29,Outros
04.02,"Leite e creme de leite (nata), concentrados ou adicionados de açúcar ou de outros edulcorantes."
0402.10,"- Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, não superior a 1,5 %"
0402.10.10,"Com um teor de arsênio, chumbo ou cobre, considerados isoladamente, inferior a 5 ppm"
0402.10.90,Outros
0402.2,"- Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:"
0402.21,-- Sem adição de açúcar ou de outros edulcorantes
0402.21.10,Leite integral
0402.21.20,Leite parcialmente desnatado
0402.21.30,Creme de leite (nata)
0402.29,-- Outros
0402.29.10,Leite integral
0402.29.20,Leite parcialmente desnatado
0402.29.30,Creme de leite (nata)
0402.9,- Outros:
0402.91.00,-- Sem adição de açúcar ou de outros edulcorantes
0402.99.00,-- Outros
04.03,"Iogurte; leitelho, leite e creme de leite (nata) coalhados, quefir e outros leites e cremes de leite (natas) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau."
